gameid,year,date,league,split,playoffs,game,position,playername,teamname,teamid,result
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,jng,Willer,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,mid,Clozer,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,bot,Hena,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,sup,Execute,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,top,Morgan,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,jng,GIDEON,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,mid,Karis,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,bot,Envyy,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,sup,Effort,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,top,DnDn,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,jng,Sylvie,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,mid,Callme,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,bot,Jiwoo,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,sup,Peter,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
